problem_id,problem_tier,categories
3942,1,"['2', '5']"
3949,1,"['1', '2', '5']"
3954,1,"['3', '10', '11', '14', '16']"
4082,1,"['2', '5']"
4087,1,"['4', '22']"
4133,1,"['1', '3']"
4134,1,['1']
4135,1,['1']
4336,1,"['1', '7']"
4456,1,"['1', '3', '16']"
4611,1,"['15', '16']"
4744,1,"['3', '13', '14']"
4872,1,['2']
4873,1,"['2', '4', '5']"
4874,1,"['2', '4', '15']"
4875,1,"['2', '4', '15']"
4876,1,"['2', '5', '11', '15']"
4877,1,"['2', '5', '11', '15']"
4878,1,"['2', '5', '11', '15']"
4879,1,"['2', '5', '11', '15']"
4880,1,"['2', '5', '11', '15']"
4881,1,"['2', '5', '11', '15']"
4953,1,"['3', '19']"
4983,1,['2']
4985,1,['2']
4987,1,"['2', '4', '5', '6', '15', '16']"
4988,1,"['2', '4', '5', '6', '15', '16']"
4989,1,"['1', '2', '5']"
5036,1,"['3', '19']"
5070,1,['9']
5108,1,['2']
5163,1,['16']
5217,19,"['2', '16']"
5218,20,"['7', '12']"
5221,15,['2']
5323,1,['2']
5328,1,"['7', '12']"
5399,1,['3']
5454,1,['7']
5588,24,"['1', '11', '25']"
5605,1,['17']
5607,1,"['7', '16']"
5719,1,"['14', '16', '22']"
5748,1,['2']
5754,1,"['1', '16']"
5811,1,['22']
5947,1,['1']
6019,1,['16']
6030,1,['16']
6133,1,['16']
6261,1,['1']
6301,1,"['2', '19']"
6629,6,['2']
6760,1,"['2', '7', '11']"
6792,1,"['13', '16']"
6814,1,['16']
6946,1,"['6', '15']"
6947,1,"['2', '3']"
6973,1,['19']
6982,1,"['5', '11']"
7008,1,"['8', '10', '11', '25']"
7020,1,['21']
7113,1,['16']
7123,2,"['2', '16']"
7124,2,"['2', '16']"
7125,2,"['2', '16']"
7126,2,['16']
7127,2,['2']
7128,2,['2']
7129,2,['16']
7130,2,['2']
7131,2,['2']
7132,2,['2']
7133,2,"['2', '16']"
7134,2,['2']
7135,2,"['2', '16']"
7136,2,['2']
7137,2,"['2', '16']"
7138,2,"['2', '16']"
7139,2,"['2', '16']"
7140,2,['2']
7141,2,"['2', '5']"
7142,2,"['2', '5']"
7143,2,"['2', '16']"
7144,2,"['2', '5']"
7145,2,"['2', '16']"
7146,2,['16']
7147,2,['2']
7148,2,"['2', '5']"
7149,2,['2']
7150,2,['2']
7151,2,['2']
7152,2,"['2', '16']"
7153,2,['16']
7154,2,['2']
7155,2,['2']
7156,2,['2']
7157,2,"['2', '16']"
7158,2,['16']
7159,2,"['2', '16']"
7160,2,['16']
7161,2,"['2', '5']"
7162,2,['16']
7163,2,"['2', '5']"
7164,2,['2']
7165,2,['2']
7166,2,['2']
7167,2,['2']
7168,2,['2']
7169,2,['2']
7170,2,['2']
7171,2,"['2', '16']"
7172,2,['2']
7173,2,['2']
7174,2,"['2', '16']"
7175,2,['2']
7176,2,"['2', '16']"
7177,2,['2']
7178,2,"['2', '16']"
7179,2,['2']
7180,2,"['2', '16']"
7181,2,"['2', '16']"
7182,2,"['2', '16']"
7183,2,"['2', '16']"
7184,2,"['2', '16']"
7185,2,"['2', '16']"
7186,2,"['2', '16']"
7187,2,['2']
7188,2,"['2', '5']"
7189,2,['2']
7190,2,['16']
7191,2,['2']
7192,2,['2']
7193,2,['2']
7194,2,"['2', '22']"
7195,2,['16']
7196,2,"['2', '5']"
7197,2,['2']
7198,2,['16']
7199,2,['2']
7200,2,['16']
7201,2,['2']
7202,2,['2']
7203,2,"['2', '16']"
7204,2,['16']
7205,2,['2']
7206,2,['16']
7207,2,['16']
7208,2,"['2', '16']"
7209,2,['16']
7210,2,['16']
7211,2,['16']
7212,2,"['2', '5']"
7213,2,['16']
7214,2,['16']
7215,2,['16']
7216,2,['2']
7217,2,['16']
7218,2,['2']
7219,2,['2']
7220,2,['16']
7221,2,['16']
7222,2,['16']
7223,2,['2']
7224,2,['16']
7225,2,['16']
7226,2,['16']
7227,2,['2']
7228,2,['2']
7229,2,['2']
7230,2,['2']
7231,2,['2']
7232,2,"['2', '5']"
7233,2,['16']
7234,2,['2']
7235,2,['16']
7236,2,['2']
7237,2,"['2', '16']"
7238,2,['2']
7239,2,['16']
7240,2,['16']
7241,2,['2']
7242,2,"['2', '16']"
7243,2,"['2', '16']"
7244,2,"['16', '22']"
7245,2,['16']
7246,2,['16']
7247,2,"['2', '16']"
7248,2,"['2', '16']"
7249,2,['16']
7250,2,['16']
7251,2,['16']
7252,2,"['2', '5']"
7253,2,"['2', '5']"
7254,2,['16']
7255,2,"['2', '16']"
7256,2,['2']
7257,2,['16']
7258,2,"['2', '5']"
7259,2,"['2', '16']"
7260,2,"['2', '16']"
7261,2,"['2', '16']"
7262,2,"['2', '16']"
7263,2,"['2', '5', '16']"
7264,2,"['2', '5']"
7265,2,"['16', '22']"
7266,2,['16']
7267,2,"['2', '16']"
7268,2,['16']
7269,2,['2']
7270,2,['16']
7271,2,"['2', '16']"
7272,2,['16']
7273,2,['16']
7274,2,['2']
7275,3,"['2', '5']"
7276,3,['2']
7277,3,['2']
7278,3,['2']
7279,3,"['2', '16']"
7280,3,['16']
7281,3,['2']
7282,3,"['2', '19']"
7283,3,"['2', '16']"
7284,3,"['2', '16']"
7285,3,"['2', '5']"
7286,3,['16']
7287,3,"['2', '5']"
7288,3,['2']
7289,3,['2']
7290,3,['16']
7291,3,"['2', '16']"
7292,3,['2']
7293,3,"['2', '5']"
7294,3,"['2', '5']"
7295,3,['5']
7296,3,['16']
7297,3,['16']
7298,3,"['2', '16']"
7299,3,"['2', '16']"
7300,3,"['2', '16']"
7301,3,['16']
7302,3,"['2', '16']"
7303,3,"['2', '16']"
7304,3,['2']
7305,3,['2']
7306,3,['2']
7307,3,"['2', '16']"
7308,3,['16']
7309,3,"['2', '5']"
7310,3,['16']
7311,3,['16']
7312,3,['2']
7313,3,['16']
7314,3,['16']
7315,3,['16']
7316,3,"['16', '22']"
7317,3,['16']
7318,3,['2']
7319,3,"['2', '16', '22']"
7320,3,"['2', '16']"
7321,3,['16']
7322,3,"['2', '22']"
7323,3,['16']
7324,3,['2']
7325,3,"['2', '16']"
7326,3,['2']
7327,3,['2']
7328,3,"['2', '5']"
7329,3,"['2', '5']"
7330,3,"['2', '16']"
7331,3,['2']
7332,3,"['2', '5']"
7333,3,"['2', '5']"
7334,3,['2']
7335,3,"['2', '5', '16']"
7336,3,"['2', '16']"
7337,3,"['2', '5']"
7338,3,"['2', '16']"
7339,3,['2']
7340,3,['16']
7341,3,"['2', '16']"
7342,3,"['2', '16']"
7343,3,['2']
7344,3,['2']
7345,3,['2']
7346,3,"['2', '16']"
7347,3,"['5', '16']"
7348,3,['2']
7349,3,['16']
7350,3,"['2', '16']"
7351,3,"['2', '16']"
7352,3,['16']
7353,3,['16']
7354,3,"['2', '16']"
7355,3,"['2', '16']"
7356,3,"['2', '16']"
7357,3,"['2', '16']"
7358,3,"['2', '16']"
7359,3,['16']
7360,3,['2']
7361,3,['16']
7362,3,"['2', '16']"
7363,3,['16']
7364,3,"['2', '16']"
7365,3,"['16', '22']"
7366,3,['16']
7367,3,['16']
7368,3,['16']
7369,3,['2']
7370,3,"['2', '16']"
7371,3,"['2', '16']"
7372,3,"['16', '22']"
7373,3,"['16', '22']"
7374,3,"['2', '16', '22']"
7375,3,['2']
7376,3,"['2', '16']"
7377,3,['2']
7378,3,['16']
7379,3,['16']
7380,3,['2']
7381,3,"['2', '5']"
7382,3,['16']
7383,3,['2']
7384,3,"['2', '5']"
7385,3,"['2', '16']"
7386,3,"['2', '16']"
7387,3,['2']
7388,3,"['2', '16']"
7389,3,['2']
7390,3,"['2', '16']"
7391,3,"['2', '5']"
7392,3,['16']
7393,3,['16']
7394,3,['2']
7395,3,"['16', '22']"
7396,3,['2']
7397,3,['16']
7398,3,"['16', '22']"
7399,3,"['16', '22']"
7400,3,['16']
7401,3,['2']
7402,3,"['2', '16']"
7403,3,['2']
7404,3,['16']
7405,3,['2']
7406,3,"['16', '22']"
7407,3,"['2', '16']"
7408,3,"['2', '16']"
7409,3,"['2', '16']"
7410,3,"['2', '16']"
7411,3,"['2', '16']"
7412,3,['2']
7413,3,"['2', '5']"
7414,3,['5']
7415,3,"['2', '16']"
7416,3,['2']
7417,3,"['2', '16']"
7418,3,['16']
7419,3,['2']
7420,3,"['2', '16']"
7421,3,['16']
7422,3,['16']
7423,3,['16']
7424,3,['16']
7425,3,"['2', '5']"
7426,3,['2']
7427,3,['16']
7428,3,['16']
7429,3,['16']
7430,3,['16']
7431,3,['16']
7432,3,['16']
7433,3,['16']
7434,3,['16']
7435,3,"['2', '16']"
7436,3,['2']
7437,3,"['4', '16']"
7438,3,"['2', '16']"
7439,3,"['2', '16']"
7440,3,['16']
7441,3,['16']
7442,3,"['2', '5']"
7443,3,"['2', '16']"
7444,3,"['2', '16']"
7445,3,['16']
7446,3,['16']
7447,3,['16']
7448,3,"['2', '16']"
7449,3,['2']
7450,3,['16']
7451,3,['16']
7452,3,"['2', '5']"
7453,3,['16']
7454,3,"['2', '16']"
7455,3,['2']
7456,3,"['2', '15']"
7457,3,['16']
7458,3,"['2', '16']"
7459,3,"['2', '16']"
7460,3,['16']
7461,3,"['2', '5']"
7462,3,['5']
7463,3,['16']
7464,3,"['16', '22']"
7465,3,['16']
7466,3,"['2', '5']"
7467,3,"['2', '5']"
7468,3,"['2', '5', '16']"
7469,3,"['2', '16']"
7470,3,"['2', '5']"
7471,3,['2']
7472,3,['16']
7473,3,['16']
7474,3,['16']
7475,3,"['2', '16']"
7476,3,['16']
7477,3,"['2', '5', '16']"
7478,3,['16']
7479,3,['16']
7480,3,"['2', '5']"
7481,3,['16']
7482,3,"['2', '5']"
7483,3,"['2', '4']"
7484,3,"['2', '16']"
7485,3,"['2', '5', '16']"
7486,3,"['2', '16']"
7487,3,['2']
7488,3,"['2', '5']"
7489,3,['16']
7490,3,['16']
7491,3,"['2', '16']"
7492,3,"['2', '5', '16']"
7493,3,"['2', '16']"
7494,3,['2']
7495,3,"['2', '16']"
7496,3,"['2', '16']"
7497,3,['2']
7498,3,['2']
7499,3,"['2', '16']"
7500,3,['16']
7501,3,"['2', '16']"
7502,3,"['2', '5']"
7503,3,['16']
7504,3,"['2', '16']"
7505,3,"['2', '5']"
7506,3,"['2', '5']"
7507,3,['16']
7508,3,['2']
7509,3,"['2', '16']"
7510,3,['2']
7511,3,"['2', '5']"
7512,3,['2']
7513,3,"['2', '16']"
7514,3,"['2', '5', '16']"
7515,3,['2']
7516,3,"['2', '16']"
7517,3,"['2', '16']"
7518,3,"['2', '16']"
7519,3,['2']
7520,3,"['2', '5']"
7521,3,"['2', '16']"
7522,3,"['2', '16']"
7523,3,"['2', '5']"
7524,3,"['2', '16']"
7525,3,"['2', '5']"
7526,3,"['2', '5']"
7527,3,['2']
7528,3,['2']
7529,3,"['2', '16']"
7530,3,"['2', '5', '16']"
7531,3,['2']
7532,3,['16']
7533,4,"['16', '22']"
7534,4,['16']
7535,4,['16']
7536,4,"['2', '16']"
7537,4,['2']
7538,4,['16']
7539,4,"['2', '16']"
7540,4,"['4', '16']"
7541,4,['16']
7542,4,"['4', '16']"
7543,4,['2']
7544,4,['2']
7545,4,['2']
7546,4,['2']
7547,4,['2']
7548,4,['2']
7549,4,['2']
7550,4,['2']
7551,4,"['2', '16']"
7552,4,"['2', '16']"
7553,4,"['2', '16']"
7554,4,['2']
7555,4,"['4', '16']"
7556,4,"['2', '16']"
7557,4,['2']
7558,4,['2']
7559,4,['16']
7560,4,['16']
7561,4,['2']
7562,4,['2']
7563,4,"['2', '16']"
7564,4,['16']
7565,4,"['2', '16']"
7566,4,"['3', '16']"
7567,4,"['2', '16']"
7568,4,['16']
7569,4,"['2', '16']"
7570,4,"['2', '5']"
7571,4,"['2', '16']"
7572,4,"['2', '16']"
7573,4,['16']
7574,4,['16']
7575,4,"['2', '16']"
7576,4,['16']
7577,4,"['5', '16']"
7578,4,"['2', '16']"
7579,4,['16']
7580,4,['16']
7581,4,"['2', '16']"
7582,4,"['2', '16']"
7583,4,['16']
7584,4,"['2', '16']"
7585,4,"['2', '16']"
7586,4,"['2', '22']"
7587,4,"['2', '5', '16']"
7588,4,"['16', '22']"
7589,4,['2']
7590,4,"['16', '22']"
7591,4,"['2', '16']"
7592,4,"['2', '5']"
7593,4,"['2', '4', '16']"
7594,4,"['2', '16']"
7595,4,"['4', '16']"
7596,4,"['2', '5', '16']"
7597,4,"['2', '16']"
7598,4,['2']
7599,4,"['2', '3', '5']"
7600,4,"['2', '16']"
7601,4,"['16', '22']"
7602,4,"['2', '16']"
7603,4,"['2', '16']"
7604,4,"['2', '5']"
7605,4,"['2', '5']"
7606,4,['2']
7607,4,['16']
7608,4,"['4', '16']"
7609,4,"['2', '16']"
7610,4,"['2', '16']"
7611,4,"['2', '4', '16']"
7612,4,"['2', '5']"
7613,4,['2']
7614,4,['16']
7615,4,['2']
7616,4,['16']
7617,4,['16']
7618,4,"['2', '16']"
7619,4,"['2', '16']"
7620,4,"['2', '16']"
7621,4,"['2', '5']"
7622,4,['16']
7623,4,"['2', '16', '22']"
7624,4,"['2', '16']"
7625,4,['16']
7626,4,['16']
7627,4,"['2', '16']"
7628,4,"['2', '16']"
7629,4,"['2', '16']"
7630,4,['2']
7631,4,"['2', '16']"
7632,4,"['2', '16']"
7633,4,['2']
7634,4,['2']
7635,4,"['2', '5']"
7636,4,"['2', '5']"
7637,4,['2']
7638,4,['2']
7639,4,['2']
7640,4,['16']
7641,4,"['2', '5']"
7643,4,['2']
7644,4,"['2', '16']"
7645,4,"['2', '16']"
7646,4,['2']
7647,4,"['2', '16']"
7648,4,"['2', '16']"
7649,4,['16']
7650,4,['16']
7651,4,['16']
7652,4,['2']
7653,4,['2']
7654,4,"['2', '5']"
7655,4,"['2', '16']"
7656,4,['5']
7657,4,"['5', '16']"
7658,4,"['4', '16']"
7659,4,"['4', '16']"
7660,4,"['2', '16']"
7661,4,"['2', '16']"
7662,4,['2']
7663,4,"['2', '5']"
7664,4,"['16', '22']"
7665,4,"['2', '5', '16']"
7666,4,"['2', '16']"
7667,4,['2']
7668,4,"['2', '5']"
7669,4,"['2', '4', '16']"
7670,4,"['2', '5', '16']"
7671,4,"['2', '5']"
7672,4,['16']
7673,4,"['2', '4', '16']"
7674,4,"['2', '16']"
7675,4,['2']
7676,4,"['15', '16']"
7677,4,"['2', '16']"
7678,4,"['2', '5']"
7679,4,['2']
7680,4,['4']
7681,4,"['2', '4', '5']"
7682,4,['2']
7683,4,['16']
7684,4,"['2', '4', '16']"
7685,4,"['3', '16']"
7686,4,['2']
7687,4,['2']
7688,4,"['2', '16']"
7689,4,['2']
7690,4,"['2', '4']"
7691,4,"['2', '16']"
7692,4,"['16', '22']"
7693,4,['16']
7694,4,['16']
7695,4,"['2', '4']"
7696,4,"['2', '16']"
7697,4,"['2', '5']"
7698,4,"['2', '5']"
7699,4,"['16', '22']"
7700,4,"['4', '16']"
7701,4,['16']
7702,4,['16']
7703,4,['2']
7704,4,"['2', '16']"
7705,4,"['2', '16']"
7706,4,['2']
7707,4,['2']
7708,4,"['2', '4', '16']"
7709,4,['16']
7710,4,"['5', '16']"
7711,4,"['2', '5']"
7712,4,"['2', '16']"
7713,4,"['2', '16', '22']"
7714,4,"['2', '16']"
7715,4,"['4', '16']"
7716,4,"['2', '4', '16']"
7717,4,['2']
7718,4,"['2', '4', '16']"
7719,4,"['2', '16']"
7720,4,['16']
7721,4,"['16', '22']"
7722,4,"['2', '16']"
7723,4,['2']
7724,4,"['2', '16']"
7725,4,"['2', '16']"
7726,4,['16']
7727,4,"['2', '16', '22']"
7728,4,"['2', '16']"
7729,4,"['2', '5']"
7730,4,['16']
7731,4,['16']
7732,4,"['2', '16']"
7733,4,['2']
7734,4,['16']
7735,4,"['2', '16']"
7736,4,"['2', '16']"
7737,4,['2']
7738,4,"['4', '16']"
7739,4,"['2', '16']"
7740,4,['2']
7741,4,['16']
7742,4,"['16', '22']"
7743,4,['16']
7744,4,"['2', '5']"
7745,4,"['2', '5', '16']"
7746,4,['16']
7747,4,"['2', '5']"
7748,4,"['2', '16']"
7749,4,['2']
7750,4,['2']
7751,4,"['2', '16']"
7752,4,"['2', '16']"
7753,4,['16']
7754,4,"['2', '16']"
7755,4,['5']
7756,4,"['2', '16']"
7757,4,"['2', '3', '16']"
7758,4,['16']
7759,4,"['2', '16']"
7760,4,['16']
7761,4,['16']
7762,4,"['2', '16']"
7763,4,"['2', '5']"
7764,4,['2']
7765,4,"['2', '16']"
7766,4,"['3', '16']"
7767,4,['2']
7768,4,['2']
7769,4,"['2', '16']"
7770,4,"['2', '4', '16']"
7771,4,['16']
7772,4,"['16', '22']"
7773,4,"['2', '16']"
7774,4,"['2', '16']"
7775,4,"['2', '16']"
7776,4,"['2', '16']"
7777,4,['16']
7778,4,['2']
7779,4,"['2', '19']"
7780,4,"['2', '16']"
7781,4,"['2', '5', '16']"
7782,4,['16']
7783,4,['2']
7784,4,"['2', '16']"
7785,4,"['2', '16']"
7786,4,"['5', '16']"
7787,4,"['2', '16']"
7788,4,"['2', '5']"
7789,4,['2']
7790,4,['2']
7791,4,['2']
7792,4,['2']
7793,4,['16']
7794,4,"['2', '16']"
7795,4,['16']
7796,4,"['3', '16']"
7797,4,['16']
7798,4,"['2', '16']"
7799,4,['16']
7800,4,"['2', '16']"
7801,4,['2']
7802,4,"['2', '5', '16']"
7803,4,['16']
7804,4,['16']
7805,4,['16']
7806,4,"['2', '5']"
7807,4,['16']
7808,4,"['3', '16']"
7809,4,"['2', '16', '22']"
7810,4,['2']
7811,4,"['2', '16']"
7812,4,"['2', '5']"
7813,4,"['2', '16']"
7814,4,"['2', '5']"
7815,4,"['2', '5']"
7816,4,"['4', '16']"
7817,4,"['2', '16']"
7818,4,['2']
7819,4,['2']
7820,4,"['4', '16']"
7821,4,['2']
7822,4,['16']
7823,4,"['2', '16']"
7824,4,"['4', '16']"
7825,4,"['2', '16']"
7826,4,"['2', '16']"
7827,4,"['2', '4']"
7828,4,"['2', '16']"
7829,4,"['2', '16']"
7830,4,"['2', '16']"
7831,4,"['2', '16']"
7832,4,['16']
7833,4,"['2', '16']"
7834,4,"['2', '16', '22']"
7835,4,"['16', '22']"
7836,4,"['2', '16']"
7837,4,"['2', '4', '16']"
7838,4,['16']
7839,4,"['2', '16']"
7840,4,['2']
7841,4,['5']
7842,4,['16']
7843,4,"['2', '16']"
7844,4,"['2', '16']"
7845,4,"['2', '16']"
7846,4,['16']
7847,4,"['4', '16']"
7848,4,['2']
7849,4,['2']
7850,4,"['2', '16']"
7851,4,['2']
7852,4,['2']
7853,4,['2']
7854,4,['2']
7855,4,"['2', '16']"
7856,4,"['2', '16']"
7857,4,['16']
7858,4,['16']
7859,4,"['2', '16', '22']"
7860,5,['16']
7861,4,"['16', '22']"
7862,4,['2']
7863,4,"['2', '16']"
7864,4,['16']
7865,4,"['4', '16']"
7866,4,['16']
7867,4,['2']
7868,4,['2']
7869,4,"['2', '16']"
7870,4,"['2', '16']"
7871,4,"['2', '3']"
7872,4,"['2', '16']"
7873,4,"['4', '16']"
7874,4,['2']
7875,4,['16']
7876,4,"['2', '16']"
7877,4,"['3', '16']"
7878,4,"['2', '16']"
7879,4,"['2', '16']"
7880,4,"['2', '16']"
7881,4,"['2', '16']"
7882,4,"['2', '16']"
7883,4,"['2', '16']"
7884,4,['2']
7885,4,['16']
7886,4,"['2', '5']"
7887,4,['5']
7888,4,['16']
7889,4,['16']
7890,4,"['2', '16']"
7891,4,['2']
7892,4,['16']
7893,4,"['2', '4']"
7894,4,"['4', '16']"
7895,4,"['4', '16']"
7896,4,"['2', '16']"
7897,4,"['2', '16']"
7898,4,['16']
7899,4,"['2', '16']"
7900,4,['2']
7901,4,['16']
7902,4,['2']
7903,4,['16']
7904,4,['16']
7905,4,"['2', '16']"
7906,4,['16']
7907,4,"['2', '16', '22']"
7908,4,"['2', '16']"
7909,4,"['2', '16']"
7910,4,['2']
7911,4,['16']
7912,4,"['2', '5']"
7913,4,"['2', '16']"
7914,4,['16']
7915,4,"['2', '16']"
7916,4,['2']
7917,4,"['16', '22']"
7918,4,"['16', '22']"
7919,4,"['2', '16']"
7920,4,"['2', '16']"
7921,4,"['2', '16']"
7922,4,"['4', '16']"
7923,4,['16']
7924,4,"['2', '16']"
7925,4,"['2', '4', '16']"
7926,4,['2']
7927,4,"['2', '5']"
7928,4,['16']
7929,4,"['2', '16']"
7930,4,['2']
7931,4,"['2', '16']"
7932,4,"['2', '5']"
7933,4,"['2', '16']"
7934,4,['16']
7935,4,"['2', '16']"
7936,4,"['2', '5']"
7937,4,['2']
7938,4,"['2', '5']"
7939,4,"['2', '4']"
7940,4,"['2', '4']"
7941,4,['16']
7942,4,"['2', '16']"
7943,4,['2']
7944,4,['2']
7945,4,"['2', '4']"
7946,4,"['2', '16']"
7947,4,"['4', '16']"
7948,4,['16']
7949,4,"['5', '16']"
7950,4,['16']
7951,4,['16']
7952,4,"['2', '5', '16']"
7953,4,"['2', '5']"
7954,4,"['2', '5']"
7955,4,['2']
7956,4,['2']
7957,4,['16']
7958,4,['16']
7959,4,"['4', '16']"
7960,4,['16']
7961,4,"['2', '16']"
7962,4,"['2', '16']"
7963,4,['2']
7964,4,['2']
7965,4,"['2', '16']"
7966,4,['2']
7967,4,['2']
7968,4,"['2', '16']"
7969,4,"['2', '5']"
7970,4,"['4', '16']"
7971,4,"['2', '16']"
7972,4,['2']
7973,4,['16']
7974,4,['4']
7975,4,"['2', '4', '16']"
7976,4,"['2', '5']"
7977,4,"['2', '16']"
7978,4,"['2', '16']"
7979,4,['5']
7980,4,"['2', '16']"
7981,4,['16']
7982,4,"['3', '16']"
7983,4,"['2', '16']"
7984,4,['16']
7985,4,"['2', '16']"
7986,4,['2']
7987,4,"['2', '16']"
7988,4,['2']
7989,4,"['2', '16']"
7990,4,['16']
7991,4,['2']
7992,4,['16']
7994,4,"['2', '5']"
7995,4,['2']
7996,4,"['2', '16']"
7997,4,['16']
7998,4,['2']
7999,4,['2']
8000,4,"['16', '22']"
8001,4,['16']
8002,4,"['2', '16']"
8003,4,"['2', '16']"
8004,4,"['2', '16']"
8005,4,['16']
8006,4,"['2', '16']"
8007,4,['2']
8008,4,['16']
8009,4,"['4', '16', '22']"
8010,4,"['16', '22']"
8011,4,"['2', '5']"
8012,4,"['2', '16']"
8013,4,"['2', '5']"
8014,4,"['2', '5', '16']"
8015,4,"['2', '16']"
8016,4,"['16', '22']"
8017,4,['2']
8018,4,['16']
8019,4,"['2', '3']"
8020,4,['2']
8021,4,['2']
8022,4,['2']
8023,4,['2']
8024,4,['2']
8025,4,['2']
8026,4,['2']
8027,4,['2']
8028,4,['2']
8029,4,['2']
8030,4,['2']
8031,4,['2']
8032,4,['16']
8033,4,['16']
8034,4,['16']
8035,4,"['2', '5']"
8036,4,"['2', '16']"
8037,4,"['2', '16']"
8038,4,"['2', '16']"
8039,4,"['2', '16']"
8040,4,"['2', '16']"
8041,4,"['2', '16']"
8042,4,"['3', '4', '16']"
8043,4,['16']
8044,4,['16']
8045,4,"['4', '16']"
8046,4,"['4', '16']"
8047,4,"['4', '16']"
8048,4,"['3', '16']"
8049,4,"['3', '4', '16', '19']"
8050,4,['16']
8051,4,"['2', '16']"
8052,4,['16']
8053,4,['16']
8054,4,"['2', '16']"
8055,4,"['16', '22']"
8056,4,['2']
8057,4,['2']
8058,4,"['2', '16']"
8059,4,"['2', '16']"
8060,4,"['2', '16']"
8061,4,"['4', '16']"
8062,4,"['2', '16']"
8063,4,['16']
8064,4,"['2', '16']"
8065,4,"['2', '5']"
8066,4,['2']
8067,4,"['2', '16', '22']"
8068,4,"['2', '16']"
8069,4,"['2', '4', '16']"
8070,4,"['2', '5']"
8071,4,"['2', '5']"
8072,4,['2']
8073,4,['2']
8074,4,['2']
8075,4,['16']
8076,4,"['2', '5']"
8077,4,"['2', '5']"
8078,4,"['2', '16']"
8079,4,['2']
8080,4,['16']
8081,4,"['2', '16']"
8082,4,"['2', '5']"
8083,4,"['2', '5']"
8084,4,"['2', '5']"
8085,4,"['2', '16']"
8086,4,"['2', '5']"
8087,4,"['2', '5', '16']"
8088,4,"['2', '16']"
8089,4,"['2', '16']"
8090,4,"['2', '16']"
8091,4,['2']
8092,4,['2']
8093,4,"['2', '16']"
8094,4,"['2', '19']"
8095,4,['16']
8096,4,"['2', '5']"
8097,4,['2']
8098,4,"['2', '5']"
8099,4,"['2', '16']"
8100,4,"['2', '16']"
8101,4,['16']
8102,4,"['2', '5']"
8103,4,"['2', '5']"
8104,4,['22']
8105,4,"['2', '5']"
8106,4,"['2', '16']"
8107,4,"['2', '5']"
8108,4,['5']
8109,4,"['2', '5']"
8110,4,"['2', '5']"
8111,4,['2']
8112,4,"['2', '5']"
8113,4,"['16', '22']"
8114,4,['2']
8115,4,['2']
8116,4,"['2', '5']"
8117,4,['16']
8118,4,['16']
8119,4,"['2', '5']"
8120,4,"['2', '5', '16']"
8121,4,"['2', '5']"
8122,4,['2']
8123,4,"['2', '5']"
8124,4,"['2', '5']"
8125,4,['16']
8126,4,['16']
8127,4,"['2', '16']"
8128,4,"['2', '16']"
8129,4,"['2', '4', '5']"
8130,4,['16']
8131,4,['2']
8132,4,"['2', '4', '16']"
8133,4,"['2', '4']"
8134,4,['3']
8135,4,['16']
